Time,Open,High,Low,Close,Volume,RSI,SMA
2024-08-08 14:29:59,4.352,6.47,4.352,6.194,2268364.72,0,0
2024-08-08 15:29:59,6.194,6.288,6.119,6.169,601518.49,0,0
2024-08-08 16:29:59,6.17,6.277,6.137,6.257,587406.85,0,0
2024-08-08 17:29:59,6.257,6.332,6.21,6.248,575332.4,0,0
2024-08-08 18:29:59,6.249,6.364,6.249,6.339,568708.32,0,0
2024-08-08 19:29:59,6.337,6.339,6.25,6.276,400153.36,0,0
2024-08-08 20:29:59,6.275,6.316,6.21,6.226,356169.75,0,0
2024-08-08 21:29:59,6.227,6.234,6.137,6.179,362172.34,0,0
2024-08-08 22:29:59,6.179,6.227,6.161,6.188,151453.03,0,0
2024-08-08 23:29:59,6.187,6.2,6.122,6.143,170071.12,0,0
2024-08-09 00:29:59,6.142,6.164,6.099,6.102,199232.38,0,0
2024-08-09 01:29:59,6.102,6.184,6.056,6.16,313586.35,0,0
2024-08-09 02:29:59,6.16,6.207,6.112,6.172,224009.36,0,0
2024-08-09 03:29:59,6.171,6.281,6.15,6.218,423476.64,0,0
2024-08-09 04:29:59,6.217,6.218,6.116,6.136,282757.1,45.645645645645644,0
2024-08-09 05:29:59,6.137,6.155,6.081,6.139,210737.32,45.90804597701151,0
2024-08-09 06:29:59,6.139,6.16,6.118,6.125,144483.01,44.82062083491592,0
2024-08-09 07:29:59,6.125,6.199,6.125,6.196,103881.83,51.14134793355581,0
2024-08-09 08:29:59,6.196,6.6,6.191,6.273,1574314.05,56.9065970756786,0
2024-08-09 09:29:59,6.275,6.448,6.254,6.366,817605.68,62.64054835412668,6.205299999999999
2024-08-09 10:29:59,6.367,6.565,6.352,6.507,949389.89,69.30837044411562,6.22095
2024-08-09 11:29:59,6.505,6.55,6.376,6.405,626943.71,60.84789427793017,6.23275
2024-08-09 12:29:59,6.405,6.624,6.377,6.501,865045.85,65.15870674345446,6.24495
2024-08-09 13:29:59,6.501,6.514,6.443,6.494,308970.94,64.60017330495998,6.25725
2024-08-09 14:29:59,6.494,6.522,6.424,6.441,387360.95,60.37998130405769,6.26235
2024-08-09 15:29:59,6.446,6.478,6.377,6.379,256115.09,55.788588945050186,6.2675
2024-08-09 16:29:59,6.379,6.486,6.376,6.482,265220.63,61.083035940526955,6.2803
2024-08-09 17:29:59,6.482,6.612,6.416,6.584,976912.94,65.49035373368007,6.30055
2024-08-09 18:29:59,6.585,6.631,6.531,6.622,477196.14,66.99019890471524,6.32225
2024-08-09 19:29:59,6.62,6.832,6.587,6.741,1268464.25,71.21003096534162,6.35215
2024-08-09 20:29:59,6.741,6.817,6.64,6.68,600511.04,66.51600008689957,6.38105
2024-08-09 21:29:59,6.68,6.7,6.598,6.655,263779.07,64.63551102609547,6.405800000000001
2024-08-09 22:29:59,6.655,6.68,6.57,6.589,232873.07,59.82679599256978,6.42665
2024-08-09 23:29:59,6.59,6.598,6.551,6.582,138715.44,59.32269504325279,6.444850000000001
2024-08-10 00:29:59,6.58,6.63,6.561,6.573,176432.29,58.638571860248355,6.466700000000001
2024-08-10 01:29:59,6.571,6.577,6.529,6.545,92061.58,56.457184190719936,6.487000000000002
2024-08-10 02:29:59,6.544,6.577,6.514,6.571,101266.85,58.01890442593985,6.509300000000001
2024-08-10 03:29:59,6.571,6.624,6.537,6.619,107127.55,60.813240584060644,6.530450000000002
2024-08-10 04:29:59,6.619,6.701,6.605,6.605,250728.81,59.56784238384385,6.547050000000001
2024-08-10 05:29:59,6.605,6.691,6.605,6.645,102559.99,61.96455118951604,6.561000000000002
2024-08-10 06:29:59,6.644,6.713,6.627,6.709,175762.92,65.4894370871396,6.571100000000001
2024-08-10 07:29:59,6.708,6.734,6.675,6.706,169882.5,65.18448841715308,6.586150000000001
2024-08-10 08:29:59,6.705,6.739,6.674,6.713,167256.86,65.58714761709034,6.59675
2024-08-10 09:29:59,6.714,6.714,6.648,6.669,137219.53,60.825168508592434,6.605500000000001
2024-08-10 10:29:59,6.669,6.709,6.639,6.699,155009.23,62.807938142175665,6.618400000000001
2024-08-10 11:29:59,6.7,6.719,6.678,6.711,141598.64,63.60152234937808,6.635000000000001
2024-08-10 12:29:59,6.711,6.84,6.7,6.834,539959.06,70.54025679304307,6.652600000000001
2024-08-10 13:29:59,6.833,6.837,6.763,6.809,340150.63,67.71472782223327,6.663850000000001
2024-08-10 14:29:59,6.809,6.846,6.668,6.714,1084288.81,58.17818097546555,6.668450000000002
2024-08-10 15:29:59,6.714,6.735,6.676,6.679,279276.49,55.09936503890698,6.665350000000001
2024-08-10 16:29:59,6.679,6.717,6.665,6.705,130949.84,56.923085065545884,6.666600000000001
2024-08-10 17:29:59,6.705,6.73,6.647,6.652,205654.81,52.26306521194631,6.66645
2024-08-10 18:29:59,6.652,6.676,6.619,6.635,236502.75,50.82578589732518,6.66875
2024-08-10 19:29:59,6.636,6.664,6.599,6.607,140066.91,48.461827243832424,6.67
2024-08-10 20:29:59,6.607,6.684,6.604,6.664,154360.56,53.23072407968128,6.674549999999999
