Time,Open,High,Low,Close,Volume,RSI,SMA
2024-08-07 17:29:59,57292,57479.6,56710.5,56834,2150.98919,0,0
2024-08-07 18:29:59,56832.06,56988,55650,56085.83,4134.20562,0,0
2024-08-07 19:29:59,56085.83,56400,55768.5,56094.5,1946.88224,0,0
2024-08-07 20:29:59,56094.51,56290.42,55800.03,56125.47,1771.8996,0,0
2024-08-07 21:29:59,56125.48,56300,55435,55570.59,2350.11275,0,0
2024-08-07 22:29:59,55570.59,55623.48,54676.35,54805.01,3462.66481,0,0
2024-08-07 23:29:59,54805.01,55152.15,54682.36,54759.22,1821.81006,0,0
2024-08-08 00:29:59,54760.97,55297.46,54643.02,55141.31,2085.03326,0,0
2024-08-08 01:29:59,55141.31,55566.24,54868.95,55416,1363.9891,0,0
2024-08-08 02:29:59,55416,55464.32,54558.62,55284.01,1743.64068,0,0
2024-08-08 03:29:59,55284,55434.57,54926.97,55134.16,859.42846,0,0
2024-08-08 04:29:59,55133.76,55370.07,54730,55300,1305.09221,0,0
2024-08-08 05:29:59,55300,57381.36,55270.35,56868,4003.00881,0,0
2024-08-08 06:29:59,56868,57636.36,56822,57364,2063.72332,0,0
2024-08-08 07:29:59,57364,57636.35,57046,57049.74,1275.97754,51.91368121516183,0
2024-08-08 08:29:59,57049.74,57234.11,56670.47,56765.34,1051.42972,49.238296685958275,0
2024-08-08 09:29:59,56765.35,57019.62,56714.52,56955.62,695.37757,51.05571382148789,0
2024-08-08 10:29:59,56955.62,57352.13,56794.35,57216,851.93145,53.508668798422256,0
2024-08-08 11:29:59,57216,57434.35,57122,57193.49,1072.16338,53.26015952670347,0
2024-08-08 12:29:59,57193.48,57382.51,57100.69,57230,936.47776,53.63627207227171,56159.6145
2024-08-08 13:29:59,57230,57495,56978.52,57339.19,882.70365,54.80752959390812,56184.873999999996
2024-08-08 14:29:59,57339.2,57558,57197.43,57377.09,1024.38947,55.23029486645379,56249.437
2024-08-08 15:29:59,57377.1,57670.04,57252.11,57320.51,845.35727,54.41195080245552,56310.7375
2024-08-08 16:29:59,57320.51,58486.02,57000,57924.62,4026.90433,61.04821547813791,56400.69500000001
2024-08-08 17:29:59,57924.63,58255,56700,57266.73,3143.35857,52.14569302177029,56485.502
2024-08-08 18:29:59,57266.73,58998.98,57168.71,58922.25,3376.24767,65.70050863481444,56691.364
2024-08-08 19:29:59,58922.25,59505,58640,59428.03,3768.91338,68.62449418876957,56924.804500000006
2024-08-08 20:29:59,59428.03,59863,59354.45,59568.56,3443.04468,69.4049192797614,57146.167
2024-08-08 21:29:59,59568.57,59854.53,59272.21,59469.88,1207.73852,68.12352616740411,57348.861
2024-08-08 22:29:59,59469.89,59696.44,59317.89,59328.09,781.71579,66.23136983995023,57551.065
2024-08-08 23:29:59,59328.1,59819.6,59237.59,59414.51,1317.07769,66.83598678856274,57765.082500000004
2024-08-09 00:29:59,59414.52,59683.5,59297.34,59506.29,616.80621,67.50148796157133,57975.39700000001
2024-08-09 01:29:59,59506.3,61355.66,59500,61173.69,2520.68689,76.66354599442758,58190.681500000006
2024-08-09 02:29:59,61170.44,62530,60621.22,62332,4551.00737,80.72818415546077,58439.08150000001
