Timestamp,Open,High,Low,Close,Volume,RSI,SMA
2024-09-03 05:00:00,1.1056,1.1060,1.1048,1.1048,0,0,0
2024-09-03 03:00:00,1.1059,1.1061,1.1051,1.1061,0,0,0
2024-09-05 16:00:00,1.1104,1.1108,1.1103,1.1104,0,0,0
2024-09-05 19:00:00,1.1108,1.1111,1.1106,1.1109,0,0,0
2024-09-05 08:00:00,1.1099,1.1108,1.1093,1.1095,0,0,0
2024-09-05 07:00:00,1.1095,1.1100,1.1092,1.1099,0,0,0
2024-09-04 07:00:00,1.1053,1.1056,1.1050,1.1053,0,0,0
2024-09-03 11:00:00,1.1061,1.1069,1.1037,1.1042,0,0,0
2024-09-02 16:00:00,1.1070,1.1073,1.1070,1.1072,0,0,0
2024-09-06 03:00:00,1.1117,1.1121,1.1114,1.1120,0,0,0
2024-09-05 17:00:00,1.1104,1.1111,1.1104,1.1110,0,0,0
2024-09-03 21:00:00,1.1048,1.1051,1.1046,1.1048,0,0,0
2024-09-06 04:00:00,1.1120,1.1121,1.1111,1.1116,0,0,0
2024-09-02 17:00:00,1.1072,1.1073,1.1069,1.1070,0,0,0
2024-09-02 14:00:00,1.1065,1.1069,1.1065,1.1069,0,0,0
2024-09-03 20:00:00,1.1045,1.1050,1.1045,1.1049,0,0,0
2024-09-04 09:00:00,1.1050,1.1053,1.1040,1.1052,0,0,0
2024-09-03 00:00:00,1.1063,1.1064,1.1057,1.1058,0,0,0
2024-09-04 23:00:00,1.1079,1.1083,1.1078,1.1079,0,0,0
