Time,Open,High,Low,Close,Volume,RSI,SMA
2024-09-03 05:15:00,134.87,135.05,134.51,134.59,9069.282,0,0
2024-09-03 05:30:00,134.58,135.47,134.54,135.44,15375.547,0,0
2024-09-03 05:45:00,135.45,136.98,135.37,136.82,47926.596,0,0
2024-09-03 06:00:00,136.81,138.13,136.49,136.63,112365.835,0,0
2024-09-03 06:15:00,136.63,137.13,136.04,136.59,35981.88,0,0
2024-09-03 06:30:00,136.6,136.67,135.72,135.78,20509.78,0,0
2024-09-03 06:45:00,135.78,135.99,135.42,135.8,20877.278,0,0
2024-09-03 07:00:00,135.81,136.2,135.51,135.54,21397.621,0,0
2024-09-03 07:15:00,135.54,136,135.54,135.75,9142.495,0,0
2024-09-03 07:30:00,135.75,135.93,135.41,135.51,16089.332,0,0
2024-09-03 07:45:00,135.5,135.89,134.94,135.19,46968.382,0,0
2024-09-03 08:00:00,135.19,135.36,134.82,135.07,17605.399,0,0
2024-09-03 08:15:00,135.07,135.45,135.02,135.42,12518.852,0,0
2024-09-03 08:30:00,135.42,135.6,134.5,134.93,21387.903,0,0
2024-09-03 08:45:00,134.93,135.17,134.5,135.16,25502.677,55.1724137931034,0
2024-09-03 09:00:00,135.17,135.5,135,135.31,13987.412,56.44920656449206,0
2024-09-03 09:15:00,135.31,135.31,134.73,134.85,15894.629,51.59586134553942,0
2024-09-03 09:30:00,134.84,135.11,134.69,135.02,5999.235,53.19737029689494,0
2024-09-03 09:45:00,135.02,135.02,134.25,134.48,21942.344,47.78857576993416,0
2024-09-03 10:00:00,134.48,134.6,133.91,134.32,28631.671,46.28688945879489,0
2024-09-03 10:15:00,134.33,134.5,133.91,134.06,16081.695,43.87419490830883,135.3457142857143
2024-09-03 10:30:00,134.06,134.17,133.54,133.69,14506.884,40.628634946343595,135.30285714285714
2024-09-03 10:45:00,133.69,134.18,133.69,133.91,36274.779,43.31375558114642,135.23
2024-09-03 11:00:00,133.91,134.1,133.78,133.83,24677.146,42.55998322601726,135.08761904761903
2024-09-03 11:15:00,133.84,134.86,133.84,134.56,22162.459,50.94848409776278,134.9890476190476
2024-09-03 11:30:00,134.56,134.75,134.42,134.6,13173.124,51.36758390080588,134.89428571428567
2024-09-03 11:45:00,134.6,134.64,134.1,134.14,15331.931,46.45223693322281,134.81619047619043
2024-09-03 12:00:00,134.14,134.48,134.09,134.22,12480.882,47.39501352847383,134.7409523809523
2024-09-03 12:15:00,134.21,134.24,132.93,133.13,53757.438,37.66476530772918,134.6261904761904
2024-09-03 12:30:00,133.13,133.47,132.77,133.22,19323.082,38.78232010909865,134.50571428571422
2024-09-03 12:45:00,133.22,133.79,133.2,133.65,20685.036,43.95246131629085,134.4171428571428
2024-09-03 13:00:00,133.65,134.06,133.56,133.59,20595.441,43.40165450479609,134.34095238095233
2024-09-03 13:15:00,133.58,134.03,133.48,133.56,16957.364,43.11074606019991,134.26904761904757
2024-09-03 13:30:00,133.56,133.9,133.5,133.57,10080.552,43.2472986714668,134.18095238095233
2024-09-03 13:45:00,133.58,133.85,133.44,133.72,10447.282,45.36571341334245,134.12333333333328
2024-09-03 14:00:00,133.73,134.42,133.67,134.33,23497.224,53.04209301221906,134.08380952380946
